Date,粉丝总数,粉丝变化,收入,下载量
2022/6/6,11565843,9297,1701124,35867
2022/6/7,11573299,7751,1657279,33010
2022/6/8,11582936,8072,1514939,29113
2022/6/9,11591533,8563,1115159,28390
2022/6/10,11601764,10202,1023661,29376
2022/6/11,11614459,12725,908838,31055
2022/6/12,11625249,10786,834809,34189
2022/6/13,11631703,6448,815992,33966
2022/6/14,11638490,6935,729168,31720
2022/6/15,11647210,8154,780452,29513
2022/6/16,11654666,7441,870415,28590
2022/6/17,11665567,10881,837094,28075
2022/6/18,11680920,15327,767067,28399
2022/6/19,11693288,12333,694025,29241
2022/6/20,11701422,8103,715960,29819
2022/6/21,11709812,8412,1055298,27914
2022/6/22,11719289,9443,1715343,27834
2022/6/23,11728544,9249,1454612,28605
2022/6/24,11737986,9439,1019216,29812
2022/6/25,11752134,14246,845095,29420
2022/6/26,11764864,12553,734381,30829
2022/6/27,11774221,9362,618134,31216
2022/6/28,11783689,9464,584086,30186
2022/6/29,11793959,10207,554764,28506
2022/6/30,11820161,26229,496286,28390
2022/7/1,11847423,27136,444141,28626
2022/7/2,12043399,195073,493198,29086
2022/7/3,12062776,19331,595568,33430
2022/7/4,12075425,12621,591244,30731
2022/7/5,12087671,12203,516353,29088
2022/7/6,12099752,12075,519852,28688
2022/7/7,12112959,14005,490243,29036
2022/7/8,12129137,12663,444653,29073
2022/7/9,12152742,23566,370513,28501
2022/7/10,12171431,18717,383638,29153
2022/7/11,12228750,57265,491934,29419
2022/7/12,12268943,40201,507522,28635
2022/7/13,12296320,27317,1729098,39496
2022/7/14,12318038,21722,3641518,37529
2022/7/15,12337458,19378,2543178,35518
2022/7/16,12355719,18243,1417370,35051
2022/7/17,12373061,17321,1373011,36395
2022/7/18,12388262,15160,1378282,35815
2022/7/19,12403628,15369,1319474,42510
2022/7/20,12418214,14491,1085145,35471
2022/7/21,12431911,13686,861338,32242
2022/7/22,12445894,13957,677899,42488
2022/7/23,12463714,17800,643380,40105
2022/7/24,12480726,17001,613684,39374
2022/7/25,12495230,14452,615240,35012
2022/7/26,12508977,13708,600680,27674
2022/7/27,12524174,15227,583886,30859
2022/7/28,12539854,15637,557755,31480
2022/7/29,12567533,27654,597836,34010
2022/7/30,12586531,19035,540198,38036
2022/7/31,12602139,15560,516512,55862
2022/8/1,12616992,14815,702042,42443
2022/8/2,12630287,13290,1215761,42538
2022/8/3,12641674,11398,2342337,44533
2022/8/4,12652919,11423,1453016,40056
2022/8/5,12665039,10813,1164232,37414
2022/8/6,12677739,12490,1000945,37510
2022/8/7,12691015,13252,708558,27615
2022/8/8,12704161,13139,629369,26752
2022/8/9,12716116,11910,663815,31033
2022/8/10,12728488,12342,660595,30690
2022/8/11,12761897,33323,620476,23398
2022/8/12,12791628,29735,428694,23106
2022/8/13,13103957,312047,395869,22076
2022/8/14,13117151,13153,491395,24375
2022/8/15,13128937,11781,510100,24219
2022/8/16,13140508,11506,541153,25197
2022/8/17,13150614,10119,613406,25299
2022/8/18,13160628,10001,568508,24466
2022/8/19,13172079,11459,473685,25308
2022/8/20,13184124,12015,452641,24640
2022/8/21,13195506,11357,469763,25322
2022/8/22,13204699,9180,496817,25123
2022/8/23,13217554,12842,516578,25237
2022/8/24,13232343,14735,1671785,41102
2022/8/25,13243551,11205,3021575,40863
2022/8/26,13255891,12344,1775022,42645
2022/8/27,13270807,14910,1399436,40773
2022/8/28,13284692,13845,1387236,42352
2022/8/29,13294415,9712,1180922,35467
2022/8/30,13305992,11560,945179,42945
2022/8/31,13315198,9173,926013,32073
2022/9/1,13322940,7760,879587,26560
2022/9/2,13330981,7997,937980,36663
2022/9/3,13344142,13305,766349,36117
2022/9/4,13355713,11193,767868,41172
2022/9/5,13362895,7244,703784,38628
2022/9/6,13369488,6485,654159,40588
2022/9/7,13374749,5321,631487,35284
2022/9/8,13381024,6182,679111,31925
2022/9/9,13393481,12445,851156,29051
2022/9/10,13413338,19178,2294943,39366
2022/9/11,13427976,14654,1652994,50764
2022/9/12,13436515,8447,1377229,42624
2022/9/13,13441393,4953,1327065,42516
2022/9/14,13451440,9708,1103617,25319
2022/9/15,13462315,11005,971203,27798
2022/9/16,13631149,166873,839167,23080
2022/9/17,13648505,17342,771491,24343
2022/9/18,13663226,14676,686360,30490
2022/9/19,13668918,5949,669406,32823
2022/9/20,13674230,4945,627731,31010
2022/9/21,13679190,5036,625945,26752
2022/9/22,13684460,5098,614997,25769
2022/9/23,13697648,13170,591858,26070
2022/9/24,13712303,14625,597093,22763
2022/9/25,13722997,10685,697546,26709
2022/9/26,13727837,4836,654648,22445
2022/9/27,13734322,6462,641723,23724
2022/9/28,13758694,24386,1781041,22213
2022/9/29,13771697,12972,3353428,13357
2022/9/30,13791223,19254,1904852,32356
2022/10/1,13815856,24514,1376066,39230
2022/10/2,13836466,20865,1372789,33776
2022/10/3,13851387,14683,1209958,35030
2022/10/4,13863959,13854,989355,33462
2022/10/5,13878688,10988,866613,33383
2022/10/6,13891914,13218,678321,30028
2022/10/7,13903319,11415,699205,30183
2022/10/8,13910617,7270,632704,28653
